================================================================================
PL 0443  |  PGU-DE-0443_BOP Piping_Field Run(1차분)_CLPL(Rev.1).xlsx
================================================================================
  BOP-PIP-072                   PL: 16건/     94EA  v16: 16행/     94EA
  BOP-PIP-073                   PL: 18건/    135EA  v16: 18행/    135EA
  BOP-PIP-074                   PL: 30건/    192EA  v16: 30행/    192EA
  BOP-PIP-075                   PL: 15건/    140EA  v16: 15행/    140EA
  BOP-PIP-076                   PL: 22건/    276EA  v16: 22행/    276EA
  BOP-PIP-077                   PL: 11건/     23EA  v16: 11행/     23EA
  BOP-PIP-078                   PL: 51건/   1181EA  v16: 51행/   1181EA
  BOP-PIP-079                   PL: 31건/    312EA  v16: 31행/    312EA
  BOP-PIP-080                   PL:  3건/     10EA  v16:  3행/     10EA
  BOP-PIP-081                   PL:  3건/      9EA  v16:  3행/      9EA
  >>> 결과: 총 81패키지  OK=81  DIFF=0  MISSING=0

================================================================================
PL 0525  |  PGU-DE-0525_BOP Piping_General System_batch 4_CIPL(Rev.2).xlsx
================================================================================
  BOP-FDR-001                   PL:  7건/    103EA  v16:  7행/    103EA
  BOP-FDR-002                   PL: 19건/    142EA  v16: 19행/    142EA
  BOP-FDR-003                   PL:  5건/     34EA  v16:  5행/     34EA
  BOP-FDR-004                   PL: 11건/    236EA  v16: 11행/    236EA
  BOP-FDR-005                   PL:  1건/      9EA  v16:  1행/      9EA
  BOP-FDR-006                   PL:  1건/      7EA  v16:  1행/      7EA
  BOP-FDR-007                   PL:  1건/      7EA  v16:  1행/      7EA
  BOP-FDR-008                   PL:  2건/      6EA  v16:  2행/      6EA
  BOP-FDR-009                   PL:  1건/     76EA  v16:  1행/     76EA
  BOP-FDR-010                   PL:  4건/     26EA  v16:  4행/     26EA
  BOP-FDR-011                   PL: 11건/     38EA  v16: 11행/     38EA
  BOP-FDR-012                   PL:  5건/     90EA  v16:  5행/     90EA
  BOP-FDR-013                   PL:  3건/     12EA  v16:  3행/     12EA
  BOP-FDR-014                   PL:  1건/      5EA  v16:  1행/      5EA
  BOP-FDR-015                   PL:  1건/      5EA  v16:  1행/      5EA
